id,year,name,mean,lower,upper,Rhat,n.eff
NA,NA,NA,NA,NA,NA,NA,NA
2A,2A-2019-2020,cp_1,114.50354061265774,114.04425440517161,114.99858739285175,1.0001051493818949,31163
2A,2A-2019-2020,cp_2,130.20498093071112,129.10538395684267,130.99991383311024,1.0000160413287427,14400
2A,2A-2019-2020,cp_3,136.49817972176433,136.00056471184612,136.94946631165257,1.0001649271724673,33214
2A,2A-2019-2020,cp_4,137.4980270429261,137.01782585303746,137.96708167356022,0.9999694832016434,32192
2A,2A-2019-2020,int_1,0.9905380617785259,0.18730767999532225,1.7687363954707958,1.0001141578537247,29133
2A,2A-2019-2020,int_2,26.978969407007913,25.022855751579144,28.88678588710908,1.0000397988945335,24667
2A,2A-2019-2020,int_3,41.57113009379617,38.36981295588877,44.7556399368882,1.0000047094797344,19435
2A,2A-2019-2020,int_4,190.462349832414,182.9038748388199,197.85593410343904,1.0004024282414263,27738
2A,2A-2019-2020,int_5,317.4730179505675,316.59562106315707,318.3782472108972,1.0001053713573478,29477
2A,2A-2019-2020,sigma_1,3.785986962769299,3.395921237719437,4.189317457007665,1.000309927502188,25999
4A,4A-2019-2020,cp_1,68.49232686944636,68.02934469674913,68.99691187464687,1.0022312622008502,26813
4A,4A-2019-2020,cp_2,74.76657887700296,74.00015794252909,75.83946975564702,1.0004367932392646,18163
4A,4A-2019-2020,cp_3,88.06480206256865,86.24014829020533,88.99999704988836,1.0000101734453308,10997
4A,4A-2019-2020,cp_4,121.28516015959842,118.9019286907628,123.99966494833811,1.0002085343108933,7891
4A,4A-2019-2020,cp_5,165.3289307616446,153.77593904713504,180.22009555706802,1.000093066325973,1428
4A,4A-2019-2020,cp_6,252.70483531327713,252.0000262000259,255.14557710008572,1.0037973968504814,3047
4A,4A-2019-2020,int_1,0.8057929606250094,0.45766628746055893,1.1593692918717342,1.00052615946692,29873
4A,4A-2019-2020,int_2,4.505482348226292,3.556276674981108,5.487744075335749,1.00026666279727,23558
4A,4A-2019-2020,int_3,7.379382311237939,6.715233799560896,8.071875742838525,1.000275623684659,23253
4A,4A-2019-2020,int_4,3.506408874634974,3.0501742848393203,3.970729277739774,1.0001329977511382,12188
